virus,host,occupation,individual_id,cluster_id,year,month,onset_day,country,city,state,probable_source,transmission_min,transmission_max,infection,symptomatic,outcome,reference,Notes
HeV,horse,NA,H099,C055,2016,Dec,NA,Australia,Casino ,New South Wales,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H100,C056,2017,May,NA,Australia,Gold Coast Hinterland ,Queensland,bat,0,0,confirmed,yes,euthanized,Queensland Government 2019,
HeV,horse,NA,H101,C057,2017,Jul,NA,Australia,Lismore,New South Wales,bat,0,0,confirmed,yes,euthanized,Queensland Government 2019,
HeV,horse,NA,H102,C058,2017,Aug,NA,Australia,Murwillimbah,New South Wales,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H103,C059,2017,Aug,NA,Australia,Lismore,New South Wales,bat,0,0,confirmed,yes,euthanized,Queensland Government 2019,
HeV,horse,NA,H104,C060,2018,Sep,NA,Australia,Tweed Heads,New South Wales,bat,0,0,confirmed,yes,euthanized,Queensland Government 2019,
HeV,horse,NA,H105,C061,2019,Jun,NA,Australia,Upper Hunter Valley,New South Wales,bat,0,0,confirmed,yes,euthanized,Queensland Government 2019,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
